fname,lname,name,citizen,village,sex,age,yob,dthmdy,deathtime,ddthtime,dthmondd,deathdate,deathnote,deathclsnt,deathtype,deathhgtm,deathclass,ams,weather,msuccess,o2used,o2none,myear,mseason,yearseas,msmtbid,msmtterm,expldr,hired,sherpa,tibetan,expid,membid,peakid,host,deathrte,route1,route2,agency,agntid,peakexps,peakabvbc,peaksmts,allexps,allabvbc,allsmts,highexps,highabvbc,highsmts,maxhighpt,maxpeakid
Akira,Ube,Akira Ube,Japan,,M,31,1948,2-May-80,,0,2-May,5/2/80,Avalanche (8300m),Route preparation,7,8300,3,0,0,0,1,0,1980,1,1980 Spr,Aborted below high camp,Accident (Death or Injury to Self or Others),Japan (Hyoriki Watanabe),0,0,0,EVER-801-03,24,EVER,China,2,N Face (Japanese & Hornbein Couloirs),,,,0,0,0,1,1,1,1,1,1,8167,DHA1
Nawang Kersang,Sherpa,Nawang Kersang Sherpa,Nepal,,M,0,,6-Sep-80,6:00,6,6-Sep,9/6/80,Icefall Collapse (5700m),Route preparation,6,5700,3,0,0,0,0,1,1980,3,1980 Aut,No summit bid,Accident (Death or Injury to Self or Others),Italy (Francesco Santon),1,1,0,EVER-803-01,55,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Mario (Franco),Piana,Mario (Franco) Piana,Italy,,M,37,1943,22-Sep-80,10:30,10.5,22-Sep,9/22/80,Avalanche (6400m),Route preparation,7,6400,3,0,0,0,0,1,1980,3,1980 Aut,No summit bid,Accident (Death or Injury to Self or Others),Italy (Francesco Santon),0,0,0,EVER-803-01,3,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,1,1,0,0,0,0,0,
Noboru,Takenaka,Noboru Takenaka,Japan,,M,28,1952,12-Jan-80,10:00,10,12-Jan,1/12/81,Fall (6800m),Route preparation,4,6800,3,0,0,0,0,1,1980,4,1980 Win,No summit bid,Accident (Death or Injury to Self or Others),Japan (Naomi Uemura),0,0,0,EVER-804-01,15,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Mary Francis (Marty),Hoey,Ms. Mary Francis (Marty) Hoey,USA,,F,30,1951,15-May-82,17:30,17.5,15-May,5/15/82,Fall (7950m),Route preparation,4,7950,3,0,0,0,0,1,1982,1,1982 Spr,Aborted below high camp,Accident (Death or Injury to Self or Others),USA (Lou Whittaker),0,0,0,EVER-821-02,8,EVER,China,1,N Face (Great Couloir),,,,0,0,0,0,0,0,0,0,0,0,
Peter David,Boardman,Peter David Boardman,UK,,M,31,1950,17-May-82,,0,17-May,5/17/82,Disappearance(8230m),Ascending in summit bid,9,8230,4,0,0,0,0,1,1982,1,1982 Spr,Aborted above high camp,Accident (Death or Injury to Self or Others),UK (Chris Bonington),0,0,0,EVER-821-03,2,EVER,China,1,NE Ridge,,,,1,1,1,4,4,3,2,2,2,8849,EVER
Joseph Thomas (Joe),Tasker,Joseph Thomas (Joe) Tasker,UK,,M,34,1948,17-May-82,,0,17-May,5/17/82,Disappearance(8230m),Ascending in summit bid,9,8230,4,0,0,0,0,1,1982,1,1982 Spr,Aborted above high camp,Accident (Death or Injury to Self or Others),UK (Chris Bonington),0,0,0,EVER-821-03,6,EVER,China,1,NE Ridge,,,,1,1,0,3,3,1,2,2,1,8586,KANG
Ang Chuldin,Sherpa,Ang Chuldin Sherpa (Khumjung),Nepal, (Khumjung),M,20,,31-Aug-82,5:30,5.5,31-Aug,8/31/82,Avalanche (5600m),Route preparation,7,5600,3,0,0,0,0,1,1982,3,1982 Aut,No summit bid,Accident (Death or Injury to Self or Others),Canada (William (Bill) March),1,1,0,EVER-823-02,23,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Dawa Dorje,Sherpa,Dawa Dorje Sherpa (Thami),Nepal, (Thami),M,42,,31-Aug-82,5:30,5.5,31-Aug,8/31/82,Avalanche (5600m),Route preparation,7,5600,3,0,0,0,0,1,1982,3,1982 Aut,No summit bid,Accident (Death or Injury to Self or Others),Canada (William (Bill) March),1,1,0,EVER-823-02,24,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Pasang Sana,Sherpa,Pasang Sana Sherpa (Khunde),Nepal, (Khunde),M,30,,31-Aug-82,5:30,5.5,31-Aug,8/31/82,Avalanche (5600m),Route preparation,7,5600,3,0,0,0,0,1,1982,3,1982 Aut,No summit bid,Accident (Death or Injury to Self or Others),Canada (William (Bill) March),1,1,0,EVER-823-02,27,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
